LogType,LogEntityType,LogEntityID,collection_time,location_id,availability,latency,jitter,packet_loss,reason
LogReport,ISP,15698000397185121,2025-10-19T21:33:52-0700,8,0,0,0,-,Traceroute did not complete successfully
LogReport,ISP,15698000397185121,2025-10-19T21:33:52-0700,8,0,0,0,-,Traceroute did not complete successfully
